Recept ID,Receptnév,Elkészítése,Kép,Szenhidrat_g,Feherje_g,Zsir_g,Recept_Skálázhatóság,,
229,Rántott gomba/cukkini/brokkoli (Sütőben sütve),"1. Zöldség előkészítése:
o Gomba: A csiperkegombát óvatosan tisztítsd meg (nedves ruhával töröld át, vagy ha nagyon szennyezett, gyorsan öblítsd le és töröld szárazra). A tönk végét vágd le. A kisebb gombákat hagyd egészben, a nagyobbakat vágd félbe vagy negyedekbe.
o Cukkini (alternatíva): Mosd meg, vágd le a végeit, majd szeleteld kb. 0,5-1 cm vastag karikákra vagy hasábokra.
o Brokkoli (alternatíva): Mosd meg, szedd rózsáira. A nagyobb rózsákat vágd kisebb, falatnyi darabokra. (Tipp: A brokkolit érdemes lehet 1-2 percre forrásban lévő vízbe dobni – blansírozni –, majd jeges vízben lehűteni és alaposan leszárítani panírozás előtt, hogy biztosan megpuhuljon sütés közben.)
o Az előkészített zöldségeket enyhén sózd és borsozd.
2. Panírozás előkészítése (3 tányéros módszer):
o Készíts elő három lapos tányért vagy tálcát.
o Az elsőbe szórd a zablisztet (ízlés szerint ebbe is keverhetsz egy kevés sót, borsot).
o A másodikban verd fel a tojást egy villával (adhtsz hozzá 1 teáskanál vizet vagy növényi tejet, hogy kissé hígabb legyen, de ez elhagyható).
o A harmadikba szórd a teljes kiőrlésű zsemlemorzsát.
3. Zöldségek bepanírozása:
o Egyenként vedd a zöldségdarabokat:
▪ Először forgasd meg alaposan a zablisztben, hogy mindenhol befedje, majd finoman rázd le a felesleget.
▪ Ezután mártsd a felvert tojásba, hogy teljesen bevonja. Hagyd, hogy a felesleges tojás lecsöpögjön.
▪ Végül forgasd meg a zsemlemorzsában, enyhén rá is nyomkodva, hogy jól megtapadjon mindenhol.
o A bepanírozott zöldségdarabokat helyezd egy sütőpapírral bélelt tepsire (vagy rácsra, amit a tepsire teszel a még ropogósabb eredményért).
4. Sütés (Sütőben vagy Air Fryerben):
o Sütőben: Melegítsd elő a sütőt 200°C-ra (légkeverésesnél 180°C).
▪ (Opcionális: A ropogósabb eredményért és szebb színért a bepanírozott darabokat nagyon vékonyan fújd be olajspray-vel, vagy egy ecsettel vékonyan kend meg őket olajjal.)
▪ Helyezd a bepanírozott zöldségeket egy rétegben a tepsire, ne legyenek túl szorosan egymás mellett.
▪ Süsd kb. 15-25 percig. Félidőben (kb. 10-12 perc után) óvatosan fordítsd meg őket, hogy mindkét oldaluk aranybarnára és ropogósra süljön. A sütési idő függ a zöldség fajtájától és méretétől.
o Air Fryerben (alternatíva): Melegítsd elő az air fryert 180-200°C-ra.
▪ Helyezd a bepanírozott zöldségeket egy rétegben a kosárba. (Szükség esetén itt is használhatsz egy kevés olajspray-t.)
▪ Süsd kb. 10-15 percig, félidőben megrázogatva a kosarat vagy megfordítva a darabokat, amíg aranybarnák és ropogósak nem lesznek.
5. Tálalás:
o Frissen, forrón tálald, amíg még ropogós. Kínálhatsz mellé mártogatóst (pl. tartármártás, fokhagymás joghurt – ezek nem részei az alapreceptnek).",https://drive.google.com/thumbnail?id=14IaFNvXslSaa24kFpqSw-gs8vYOICLGv,49,22,9,Nem skálázható,,
230,Rántott hús,"1. Hús előkészítése (kb. 5-7 perc): 
o A csirkemellfilét mossuk meg, töröljük szárazra. Ha vastagabb, vágjuk 1-2 szeletre, majd szükség esetén klopfolóval enyhén klopfoljuk ki a szeleteket, hogy kb. 0,5-1 cm vastagok legyenek. Ügyeljünk arra, hogy ne legyenek túl vékonyak, mert akkor kiszáradhatnak sütés közben. 
o Mindkét oldalukat ízlés szerint sózzuk és borsozzuk. 
2. Panírozás előkészítése és a hús bevonása (kb. 10 perc): 
o Készítsünk elő három lapos tányért vagy tálcát a panírozáshoz:  
o Az elsőbe szórjuk a 10 g zablisztet. 
o A másodikban egy villával verjük fel enyhén az 1 db tojást (egy csipet sóval ízesíthetjük). 
o A harmadikban keverjük össze alaposan a 10 g teljes kiőrlésű zsemlemorzsát az 5 g szezámmaggal. 
o Vegyük az előkészített, befűszerezett csirkemellszelete(ke)t:  
o Először forgassuk meg alaposan a zablisztben, hogy mindenhol vékonyan bevonja. A felesleges lisztet finoman rázzuk le róla. 
o Ezután mártsuk a felvert tojásba, ügyelve arra, hogy mindenhol egyenletesen érje. Hagyjuk a felesleges tojást kissé lecsöpögni. 
o Végül alaposan forgassuk meg a szezámmagos zsemlemorzsában. Gyengéden nyomkodjuk rá a panírt a húsra, hogy jól megtapadjon mindenhol. 
3. Sütés (kb. 10-20 perc, módszertől függően): Válasszunk egyet az alábbi egészségesebb sütési módszerek közül: 
o Serpenyőben, kevés zsiradékon: Egy tapadásmentes serpenyőben hevítsünk fel kb. 1-2 teáskanál olajat közepes lángon. Helyezzük bele a bepanírozott hússzelete(ke)t. Süssük oldalanként kb. 4-6 percig, amíg a panír szép aranybarna és ropogós lesz, a hús pedig teljesen átsül. Ne süssük túl magas lángon, nehogy a panír megégjen, mielőtt a hús átsülne. Ha több szeletet sütünk, ne zsúfoljuk túl a serpenyőt. 
o Sütőben sütve: Melegítsük elő a sütőt 200°C-ra (légkeveréses módban 180°C). Helyezzük a bepanírozott hússzelete(ke)t sütőpapírral bélelt tepsire, egymástól kissé távolabb. A tetejüket enyhén megfújhatjuk olajspray-vel (ha használunk). Süssük kb. 15-20 percig, a sütési idő felénél egyszer óvatosan megfordítva, amíg aranybarnák és ropogósak lesznek, és a hús átsült. 
o Air fryerben (forrólevegős fritőzben): Melegítsük elő az air fryert 180-190°C-ra. Helyezzük a bepanírozott szeleteket a kosárba egy rétegben (ne zsúfoljuk túl). Enyhén megfújhatjuk olajspray-vel (ha használunk). Süssük kb. 10-15 percig, a sütési idő felénél megfordítva, amíg a panír aranybarna és ropogós lesz, a hús pedig átsül. 
4. Tálalás: 
o A megsült rántott húst, ha serpenyőben készült, érdemes rövid időre papírtörlőre helyezni, hogy a felesleges zsiradékot leitassuk róla. 
o Melegen tálaljuk. Kínálhatunk mellé friss salátát, párolt zöldségeket, vagy a diétának megfelelő köretet (pl. barna rizst, kuszkuszt). ",https://drive.google.com/thumbnail?id=1WPTSF_XNZPj62xlT63IZldiuM3S-Ozxi,13,44,12,Nem skálázható,,
231,Rántotta Pulykamell Sonkával és Kovászos Kenyérrel,"1. Előkészületek: A pulykamell sonkát vágd apróra. A tojásokat üsd fel egy kis tálba, ízesítsd sóval és borssal, majd egy villával verd fel enyhén.
2. Pirítás és sütés: Egy serpenyőben hevítsd fel az 1 teáskanál kókuszolajat közepes lángon. Add hozzá az apróra vágott pulykamell sonkát, és pirítsd meg kb. 2-3 perc alatt. Öntsd rá a felvert, ízesített tojásokat. Kevergetve süsd készre a rántottát (kb. 2-3 perc), amíg a kívánt állagú nem lesz.
3. Kenyér pirítása: Közben a 1/2 szelet teljes kiőrlésű kovászos kenyeret pirítsd meg kenyérpirítóban vagy egy másik száraz serpenyőben.
4. Tálalás: A kész rántottát tálald a friss pirítós mellé.",https://drive.google.com/thumbnail?id=1qdbAc2gjyBF0ZnHOeCL8Sa-zjFO-ImF1,10,22,16,Skálázható,,
232,Reform madártej,"1. Tojás szétválasztása és hab készítése:
o Válasszuk szét a tojást: a sárgáját tegyük egy kisebb tálba, a fehérjét pedig egy tiszta, zsírmentes, közepes méretű tálba.
o A tojásfehérjéhez adjunk egy csipet sót (opcionális, segíti a hab keménységét) és egy keveset a ""zero vaníliás cukorból"" (vagy más édesítőből, ha a galuskákat édesebben szeretnénk).
o Kézi vagy gépi habverővel verjük a tojásfehérjét kemény, de még kissé rugalmas habbá. Ügyeljünk rá, hogy ne verjük túl, mert akkor széteshet.
2. Tojáshabgaluskák (""madárkák"") elkészítése:
o Egy szélesebb lábasban melegítsünk fel kb. 150-200 ml-t a növényi tejből. Gyöngyözésig hevítsük, de ne forraljuk erősen.
o Két, hideg vízbe mártott evőkanál segítségével formázzunk galuskákat a felvert tojásfehérjehaból, és óvatosan helyezzük őket a gyöngyöző növényi tejbe. Egyszerre csak néhány galuskát tegyünk a tejbe, hogy kényelmesen elférjenek.
o Lassú tűzön főzzük (inkább gőzöljük) a galuskákat kb. 1-2 percig oldalanként, amíg kissé megszilárdulnak. Óvatosan fordítsuk meg őket, majd a másik oldalukat is főzzük ugyanennyi ideig.
o Egy szűrőkanállal emeljük ki a kész galuskákat, és tegyük őket egy tányérra lecsepegni. Ismételjük meg a folyamatot, amíg az összes tojáshab elfogy. A galuskák főzésére használt tejet tegyük félre.
3. Vaníliás krém (sodó) elkészítése:
o A tojássárgájához adjuk hozzá a maradék ""zero vaníliás cukrot"" (vagy édesítőszert) és az ízlés szerinti reszelt citromhéjat. Keverjük simára egy habverővel.
o Fokozatosan öntsük hozzá a maradék (galuskafőzéshez nem használt) növényi tejet, valamint a galuskák főzéséből megmaradt, esetleg leszűrt tejet is. Keverjük jól össze.
o Öntsük a keveréket egy tiszta lábasba, és alacsony vagy közepesen alacsony lángon, folyamatosan kevergetve (lehetőleg fakanállal vagy szilikon spatulával, a lábas alját és oldalát is elérve) főzzük addig, amíg kissé besűrűsödik és bevonja a kanál hátulját (ez kb. 75-80°C-ot jelent). Ez a lépés türelmet igényel, kb. 8-15 perc lehet. Nagyon fontos, hogy ne forraljuk fel a krémet, mert a tojássárgája kicsapódik (megfő), és a krém túrós állagú lesz!
4. Hűtés és tálalás:
o Amint a krém elérte a kívánt sűrűséget, azonnal vegyük le a tűzről. Hagyjuk szobahőmérsékletűre hűlni, közben időnként keverjük meg, hogy ne bőrösödjön a teteje. (Alternatívaként a krém felszínére közvetlenül simíthatunk egy darab folpackot a bőrösödés megelőzésére.)
o Ha kihűlt, tegyük a hűtőszekrénybe legalább 1-2 órára, hogy teljesen hideg legyen.
o Tálaláskor öntsük a hideg vaníliás krémet tálkákba vagy poharakba, majd óvatosan helyezzük a tetejére a kihűlt tojáshabgaluskákat. Ízlés szerint megszórhatjuk egy csipet fahéjjal vagy extra reszelt citromhéjjal.",https://drive.google.com/thumbnail?id=1xNu0UzSjx3BNXYgh8Fbzy_eGs3IPg8_k,10,8,9,Nem skálázható,,
233,Reggeli Doboz,"1. Tojások előkészítése: Ha még nem főttek meg a tojások, főzd őket keményre (forrástól számítva kb. 8-10 perc). Hideg víz alatt hűtsd le, majd pucold meg. Félbe vághatod, vagy cikkekre szeletelheted.
2. Avokádó előkészítése: Az avokádót vágd fel, távolítsd el a magját, majd a negyedét szeleteld fel vagy kockázd fel. (Ha nem fogyasztod el azonnal, érdemes egy pici citromlével meglocsolni, hogy ne barnuljon meg.)
3. Összeállítás: Egy dobozba vagy tányérra rendezd el ízlésesen a főtt tojásokat, a sonkaszeleteket (összetekerve vagy csak egymás mellé helyezve), az avokádó darabokat, a megmosott koktélparadicsomokat és a szelet kovászos kenyeret.
4. Ízesítés (opcionális): Ízlés szerint sózhatod, borsozhatod a tojást és az avokádót.",https://drive.google.com/thumbnail?id=1n09QrfV6RpX5P4Zz1Qjjkiehm9cEiOuj,21,28,20,Skálázható,,
234,Rizses hús,"1. Alapanyagok előkészítése:
o A csirkemellfilét mosd meg, töröld szárazra, majd vágd kb. 1,5-2 cm-es kockákra. Szórd meg egy kevés sóval és borssal.
o A vöröshagymát pucold meg és vágd apró kockákra.
o A basmati rizst alaposan, többször válts vizet rajta, amíg a leöblítő víz viszonylag tiszta nem lesz. Ezután csepegtesd le.
2. Pörköltalap készítése és csirke pirítása:
o Egy közepes méretű lábasban vagy egy mélyebb serpenyőben hevítsd fel az 1 tk olajat vagy kókuszzsírt közepes lángon.
o Add hozzá az aprított vöröshagymát, és dinszteld üvegesre, kb. 3-5 perc alatt.
o Tedd a lábasba a befűszerezett csirkemell kockákat, és pirítsd fehéredésig, időnként megkeverve (kb. 4-5 perc).
o Keverd hozzá a sűrített paradicsompürét, és pirítsd együtt még 1 percig.
3. Rizs hozzáadása és párolás (együttfőzés):
o Add a leöblített, lecsepegtetett basmati rizst a csirkés alaphoz. Kevergesd át kb. 1 percig, hogy a rizsszemeket kissé átjárja a zsiradék és az ízek.
o Öntsd fel a kb. 100-120 ml vízzel vagy alaplével. Ízesítsd a maradék csipet sóval és borssal.
o Forrald fel a keveréket, majd amint forr, vedd a lángot a lehető legalacsonyabbra, és fedd le szorosan a lábast.
o Párold így kb. 12-15 percig, amíg a rizs megpuhul és az összes folyadékot felszívja. Ez idő alatt ne emelgesd a fedőt, hogy a gőz ne szökjön el.
4. Pihentetés és tálalás:
o Ha a rizs megfőtt és a folyadék eltűnt, zárd el a lángot, de hagyd a fedőt a lábason. Pihentesd így még 5-10 percig. Ezalatt a rizs tovább puhul a saját gőzében.
o Tálalás előtt egy villával óvatosan lazítsd fel a rizses húst. Kóstold meg, és ha szükséges, igazíts az ízesítésen.
o Forrón tálald. Ízlés szerint kínálhatsz mellé savanyúságot (pl. csemegeuborka, ecetes paprika – ezek nem részei az alapreceptnek).",https://drive.google.com/thumbnail?id=1APDuIHtvDk8ykh_pCXR3ZA7MNYWqzpof,36,37,4,Skálázható,,
235,Rizsgombóc,"1. Rizs főzése: A basmati rizst alaposan öblítsd át hideg vízzel. Egy kisebb lábosban tedd fel főni a rizst a kb. 100-120 ml vízzel és egy csipet sóval. Forrald fel, majd vedd a lángot a legalacsonyabbra, fedd le, és párold puhára kb. 12-15 perc alatt, vagy amíg az összes vizet felszívja. Ha megfőtt, húzd le a tűzről, és hagyd fedő alatt további 5 percig pihenni, majd terítsd szét egy tányéron, hogy kissé kihűljön.
2. Zöldségek előkészítése és párolása (zsiradék nélkül): Amíg a rizs fő és hűl, pucold meg a vöröshagymát és aprítsd nagyon finomra. A gombát tisztítsd meg és szintén vágd nagyon apró kockákra. Egy tapadásmentes serpenyőt melegíts fel közepes lángon. Add hozzá a finomra aprított vöröshagymát, és párold (szárazon, vagy 1-2 evőkanál víz hozzáadásával) kb. 3-4 percig, amíg megpuhul és üveges lesz. Add hozzá az apróra vágott gombát, sózd, borsozd, és ízesítsd őrölt szerecsendióval. Párold további 5-7 percig, amíg a gomba megpuhul és a leve elpárolog. Tedd félre hűlni.
3. Massza összeállítása: Egy közepes tálban keverd össze a langyosra hűlt főtt rizst és a szintén kihűlt hagymás-gombás keveréket. Üsd bele az 1 db tojást. Alaposan dolgozd össze a masszát. (Ha szeretnéd, ezen a ponton adhatsz hozzá aprított friss petrezselymet.) A masszának formázhatónak kell lennie.
4. Gombócok formázása és sütés: Melegítsd elő a sütőt 200°C-ra (alsó-felső sütés). Bélelj ki egy tepsit sütőpapírral. Enyhén nedves kézzel formázz a rizses masszából kisebb gombócokat vagy laposabb pogácsákat (kb. 4-6 darabot). Helyezd a gombócokat az előkészített tepsire. (Ha használsz olajspray-t, most nagyon vékonyan bepermetezheted őket a ropogósabb külső érdekében.) Süsd az előmelegített sütőben kb. 15-20 percig, vagy amíg a gombócok külseje enyhén megpirul és kissé megszilárdulnak. Félidőben óvatosan megforgathatod őket.
5. Tálalás: Melegen tálald. Kínálhatod önmagában, könnyű mártogatóssal (pl. fűszeres joghurt), vagy friss salátával.",https://drive.google.com/thumbnail?id=1C824Bz_v2OqgJL9QQEyFM-pnfdU3jMtC,44,12,5,Nem skálázható,,
236,Saláta szendvics,"1. Alapanyagok előkészítése (kb. 5-10 perc, ha a tojás már megfőtt): 
o Ha a tojás még nyers, főzzük keményre (forrástól számítva kb. 8-10 perc). Hűtsük le hideg víz alatt, pucoljuk meg, majd vágjuk karikákra vagy cikkekre. 
o A salátaleveleket alaposan mossuk meg, majd töröljük vagy csepegtessük szárazra. Válasszunk ki néhány szép, nagyobb levelet, amelyek alkalmasak ""alapként"" vagy a kenyérre helyezve. 
o A paradicsomot mossuk meg, és vágjuk vékony szeletekre. 
o Az avokádót vágjuk félbe, távolítsuk el a magját, kanalazzuk ki a húsát, majd vágjuk vékony szeletekre, vagy törjük össze enyhén egy villával. (Tipp: hogy ne barnuljon meg, a felvágott avokádót meglocsolhatjuk egy nagyon kevés citromlével – ez nincs a hozzávalólistán, de hasznos lehet.) 
o A teljes kiőrlésű kenyeret (ha szeretnénk) enyhén megpiríthatjuk kenyérpirítóban vagy száraz serpenyőben. 
2. Szendvics összeállítása (kb. 5 perc): 
o Vegyük elő a kenyérszeletet/szeleteket. 
o A felhasználó leírása szerint: ""A saláta leveleket megkenjük a vegán tejföllel"". Tehát, a tiszta, száraz salátalevelek egyik oldalát kenjük meg vékonyan a 25 g vegán tejföllel. (Alternatívaként, ha praktikusabbnak tűnik, a kenyérszeletet is megkenhetjük a vegán tejföllel, és erre helyezhetjük a salátaleveleket.) 
o Helyezzük a (megkent) salátaleveleket a kenyérszelet(ek)re. 
o Rétegezzük rá a sonkaszeleteket. 
o Következnek a főtt tojás karikák/cikkek. 
o Ezután helyezzük rá a paradicsomszeleteket. 
o Végül tegyük rá az avokádó szeleteket vagy a pépesített avokádót. 
o Ha szeretnénk, a rétegeket (különösen a paradicsomot, tojást, avokádót) enyhén sózhatjuk, borsozhatjuk ízlés szerint. 
o Ha két szelet kenyeret használunk, a tetejére helyezhetjük a másik szeletet, vagy nyitott szendvicsként is fogyaszthatjuk. (A 30g kenyér inkább egy szeletre vagy egy kisebb, kettéhajtott szendvicsre utal.) 
3. Tálalás: 
o Azonnal, frissen fogyasszuk.",https://drive.google.com/thumbnail?id=1SaPS7d-DMkRofOYIdNU1ltIP8ibAWSan,20,21,19,Skálázható,,
237,Sake Maki (Lazac Tekercs),"1. Rizs/Quinoa főzése:
o A gyorsfőzésű barna rizst (vagy quinoát) alaposan öblítsd át hideg folyó víz alatt.
o Tedd egy kisebb lábasba, öntsd fel a 150 ml vízzel (vagy a csomagoláson javasolt mennyiséggel). Forrald fel, majd vedd alacsonyra a lángot, fedd le, és párold puhára (gyorsfőzésű barna rizsnek kb. 10-15 perc, quinoának szintén kb. 15 perc).
o Ha megfőtt, húzd le a tűzről, és hagyd fedő alatt még 5-10 percig pihenni.
2. Rizs/Quinoa ízesítése:
o A megfőtt rizst/quinoát tedd át egy nem fém tálba. Amíg még meleg, óvatosan forgasd hozzá a cukormentes almaecetet és egy csipet sót. Ügyelj rá, hogy ne törd össze a szemeket.
o Hagyd teljesen kihűlni szobahőmérsékletűre (ezt meggyorsíthatod, ha legyezgeted). A sushikészítéshez langyos vagy szobahőmérsékletű rizs az ideális.
3. Lazac előkészítése:
o Győződj meg róla, hogy a lazac friss és sushi minőségű. Éles késsel vágd kb. 1 cm vastag, hosszú csíkokra.
4. Maki tekercsek összeállítása:
o Helyezz egy nori lapot a fényesebbik (sima) oldalával lefelé egy bambusz sushi tekerőre (makisu). Ha nincs makisud, egy tiszta konyharuha vagy egy darab folpack is megteszi alátétként.
o Nedvesítsd be a kezedet egy kevés vízzel (hagyományosan ecetes vízbe mártják, hogy ne ragadjon a rizs).
o A kihűlt, ízesített rizs/quinoa felét (ha 2 norilapot használsz) egyenletesen oszlasd el a nori lapon, úgy, hogy a felső (tőled távolabbi) szélén hagyj kb. 1-2 cm-es üres sávot. Ne nyomkodd le túl erősen a rizst.
o A rizs közepére, a hozzád közelebb eső harmadba fektess egy vagy több csík lazacot (a mennyiség felét).
o A nori lap felső, üresen hagyott szélét enyhén nedvesítsd be egy kevés vízzel.
o A bambusz tekerő segítségével kezdd el szorosan feltekerni a nori lapot alulról (a hozzád közelebbi szélétől) felfelé. Az első tekerésnél ügyelj rá, hogy a tölteléket jól ""bezárd"", majd folytasd a tekerést, közben enyhén, de határozottan nyomkodd meg a tekercset, hogy kompakt legyen. A benedvesített felső szél segít lezárni a tekercset.
o Ismételd meg a folyamatot a másik nori lappal és a maradék rizzsel/quinoával és lazaccal.
5. Szeletelés és tálalás:
o Egy nagyon éles, benedvesített pengéjű késsel vágd a tekercseket először félbe, majd a feleket további 3-4 egyenlő darabra (így 6-8 szelet lesz egy tekercsből). Minden vágás után érdemes a kést letörölni és újra benedvesíteni, hogy ne ragadjon, és szép, tiszta szeleteket kapj.
o Rendezd el a sake maki szeleteket egy tálalótányéron. Kínáld mellé a light szójaszószt, wasabit és esetleg savanyított gyömbért.",https://drive.google.com/thumbnail?id=1oDUrqQnLgAEOFDoHJI4gzIdZ7LaewFA3,40,24,13,Nem skálázható,,
238,Sake Nigiri (Lazac Nigiri),"1. Rizs/Quinoa főzése:
o A gyorsfőzésű barna rizst (vagy quinoát) a csomagoláson található utasítás szerint főzd meg a 150 ml vízzel. Általában a barna rizs főzési ideje kb. 15-20 perc.
o Ha megfőtt, hagyd lefedve pihenni 5-10 percig, majd óvatosan terítsd szét egy laposabb tálban vagy deszkán, hogy kissé kihűljön (langyosra vagy szobahőmérsékletűre).
2. Rizs/Quinoa ízesítése:
o Amikor a rizs/quinoa már kezelhető hőmérsékletű (nem forró, de még meleg), óvatosan forgasd bele az almaecetet (vagy rizsecetet) és egy csipet sót. Ügyelj rá, hogy ne törd össze a szemeket. Hagyd teljesen kihűlni, vagy legalább langyosra hűlni.
3. Lazac előkészítése (amíg a rizs hűl):
o Győződj meg róla, hogy a lazacfilé friss és sushi minőségű (nyers fogyasztásra alkalmas).
o Egy nagyon éles késsel vágd a lazacot a rostokra merőlegesen vékony, kb. 0,5 cm vastag, 3-4 cm hosszú és kb. 2 cm széles szeletekre.
4. Nigirik formázása:
o Készíts elő egy kis tálka vizet (esetleg kevés ecettel elkeverve), hogy időnként megnedvesíthesd a kezed – ez megakadályozza, hogy a rizs ragadjon.
o Végy a kezedbe kb. 20-25 grammnyi ízesített rizst (ez kb. egy púpozott evőkanálnyi mennyiség). Óvatosan formázz belőle egy hosszúkás, ovális ""párnácskát"" a tenyeredben. Ne nyomkodd túl erősen, csak annyira, hogy egyben maradjon.
o Vegyél egy szelet előkészített lazacot a másik kezedbe. Ha használsz wasabit, egy nagyon pici pöttyöt kenhetsz a lazacszelet közepére (arra az oldalára, ami a rizzsel érintkezik).
o Helyezd a lazacszeletet a rizspárnácskára, és óvatosan nyomkodd rá, hogy a kettő összetapadjon és felvegye a nigiri formáját.
o Ismételd meg a folyamatot a maradék rizzsel és lazaccal.
5. Tálalás:
o Rendezd el a Sake Nigiri-ket egy tálalótányéron.
o Kínáld mellé a light szójaszószt (kis tálkában a mártogatáshoz) és egy kevés wasabi pasztát ízlés szerint.",https://drive.google.com/thumbnail?id=1t3Cw4-S6tOi66c1VtqwmM9uG2EpiVrLu,38,22,13,Nem skálázható,,
239,Sake Nigiri (Lazac Nigiri) Citrommal,"1. Rizs/Quinoa főzése:
o A gyorsfőzésű barna rizst (vagy quinoát) a csomagoláson található utasítás szerint főzd meg a 150 ml vízzel.
o Ha megfőtt, hagyd lefedve pihenni 5-10 percig, majd óvatosan terítsd szét egy laposabb tálban vagy deszkán, hogy kissé kihűljön (langyosra vagy szobahőmérsékletűre).
2. Rizs/Quinoa ízesítése:
o Amikor a rizs/quinoa már kezelhető hőmérsékletű, óvatosan forgasd bele az almaecetet (vagy rizsecetet) és egy csipet sót. Hagyd teljesen kihűlni, vagy legalább langyosra hűlni.
3. Lazac előkészítése (amíg a rizs hűl):
o Győződj meg róla, hogy a lazacfilé friss és sushi minőségű (nyers fogyasztásra alkalmas).
o Egy nagyon éles késsel vágd a lazacot a rostokra merőlegesen vékony, kb. 0,5 cm vastag, 3-4 cm hosszú és kb. 2 cm széles szeletekre. Csepegtess rá pár csepp friss citromlevet.
4. Nigirik formázása:
o Készíts elő egy kis tálka vizet (esetleg kevés ecettel elkeverve), hogy időnként megnedvesíthesd a kezed – ez megakadályozza, hogy a rizs ragadjon.
o Végy a kezedbe kb. 20-25 grammnyi ízesített rizst. Óvatosan formázz belőle egy hosszúkás, ovális ""párnácskát"" a tenyeredben.
o Vegyél egy szelet citromos lazacot a másik kezedbe. Ha használsz wasabit, egy nagyon pici pöttyöt kenhetsz a lazacszelet közepére (arra az oldalára, ami a rizzsel érintkezik).
o Helyezd a lazacszeletet a rizspárnácskára, és óvatosan nyomkodd rá, hogy a kettő összetapadjon és felvegye a nigiri formáját.
o Ismételd meg a folyamatot a maradék rizzsel és lazaccal.
5. Tálalás:
o Rendezd el a Sake Nigiri-ket egy tálalótányéron.
o Kínáld mellé a light szójaszószt (kis tálkában a mártogatáshoz) és egy kevés wasabi pasztát ízlés szerint.",https://drive.google.com/thumbnail?id=1t3Cw4-S6tOi66c1VtqwmM9uG2EpiVrLu,38,22,13,Skálázható,,
240,Serpenyős Csirkemellcsíkok Cukkinivel és Paprikával,"1. Rizs főzése: A basmati rizst alaposan mosd át hideg vízzel, majd főzd meg a csomagoláson található utasítás szerint (általában kb. 1:1,5 arányban vízzel, kb. 10-12 percig fedő alatt, alacsony lángon). Ha kész, villával lazítsd fel, és tedd félre.
2. Alapanyagok előkészítése (amíg a rizs fő):
o A csirkemellfilét vágd vékony csíkokra. Ízlés szerint sózd, borsozd.
o A cukkinit vágd félkarikákra vagy hasábokra.
o A kaliforniai paprikát vágd csíkokra.
o A lilahagymát szeleteld vékonyra.
3. Pirítás serpenyőben:
o Egy nagyobb serpenyőben vagy wokban hevítsd fel a kókuszolajat közepesen magas lángon.
o Add hozzá a csirkemellcsíkokat, és pirítsd őket fehéredésig, majd tovább aranybarnára, amíg teljesen átsülnek (kb. 5-7 perc).
o Add a serpenyőhöz a vékonyra szeletelt lilahagymát, és pirítsd 1-2 percig, amíg kissé megfonnyad.
o Tedd bele a csíkokra vágott kaliforniai paprikát és a cukkinit. Gyakran kevergetve pirítsd további 4-6 percig, amíg a zöldségek kissé megpuhulnak, de még roppanósak maradnak.
4. Ízesítés és befejezés:
o Öntsd a szójaszószt a serpenyőben lévő csirkés-zöldséges alapra. Keverd össze alaposan, és főzd még 1 percig, hogy az ízek összeérjenek.
5. Tálalás:
o Tálald a serpenyős csirkemellet és zöldségeket a főtt basmati rizzsel.
o Ha használsz, szórd meg a tetejét szezámmaggal.",https://drive.google.com/thumbnail?id=1lYlYi2bwpPBvU6i6B7a4H6eVAq9xzAni,43,38,9,Skálázható,,
241,Serpenyős lazacfilé citrommal,"1. Rizs főzése: A 40 g basmati rizst alaposan öblítsd át, majd kétszeres mennyiségű enyhén sós vízben (kb. 80-100 ml) tedd fel főni. Forrás után vedd alacsonyra a lángot, fedd le, és főzd kb. 10-12 percig, amíg a víz teljesen felszívódik és a rizs megpuhul. Húzd le a tűzről, és hagyd fedő alatt pihenni.
2. Hozzávalók előkészítése: Amíg a rizs fő, készítsd elő a többi alapanyagot. A bőr nélküli lazacfilét sózd, borsozd mindkét oldalán. A cukkinit vágd kb. 0,5 cm vastag karikákra, sózd, borsozd enyhén. A citromból vágj 2-3 vékony szeletet, a maradék felének a levét facsard ki későbbre. Az opcionális kaprot aprítsd finomra.
3. Cukkini sütése: Egy nagyobb, jó minőségű (lehetőleg tapadásmentes) serpenyőben hevítsd fel a kókuszolaj kisebb részét (kb. ½ teáskanálnyit). Tedd bele a cukkini karikákat egy rétegben (lehet, hogy több részletben kell sütni), és süsd oldalanként 2-3 percig, amíg enyhén megpirulnak és megpuhulnak. Szedd ki egy tányérra.
4. Lazac sütése: Ugyanabban a serpenyőben hevítsd fel a maradék kókuszolajat. Tedd a befűszerezett lazacfilét a forró serpenyőbe. Süsd oldalanként kb. 3-5 percig közepesen erős lángon, amíg mindkét oldala szép színt kap és teljesen átsül. Az utolsó 1-2 percben teheted a citromszeleteket a lazac mellé a serpenyőbe. Vigyázz, ne süsd túl, hogy szaftos maradjon.
5. Tálalás: A megfőtt basmati rizst szedd tányérra. Helyezd mellé a sült cukkini karikákat és a serpenyős lazacfilét. Locsold meg a lazacot a frissen facsart citromlével, és ha használsz, szórd meg az aprított kaporral. Azonnal, melegen tálald.",https://drive.google.com/thumbnail?id=1XVR7vJySchjCBgd3h5T9l5JthzL4Msp-,37,53,21,Skálázható,,
